Label,Prediction
[18.26000023],[18.330381]
[17.93000031],[18.163116]
[18.03000069],[17.869778]
[18.20000076],[17.878885]
[18.12000084],[18.049131]
[18.03000069],[18.042719]
[18.35000038],[17.94765]
[17.94000053],[18.156315]
[18.],[17.88543]
[18.37000084],[17.821573]
[18.44000053],[18.108223]
[18.18000031],[18.260483]
[17.28000069],[18.078735]
[17.30999947],[17.289946]
[17.14999962],[17.0826]
[16.69000053],[16.970873]
[16.95000076],[16.629953]
[17.04999924],[16.754938]
[16.81999969],[16.922604]
[16.67000008],[16.807285]
[16.46999931],[16.63875]
[16.25],[16.43367]
[16.20000076],[16.21302]
[15.96000004],[16.125376]
[15.76000023],[15.951804]
[16.57999992],[15.764899]
[16.20000076],[16.329067]
[15.81000042],[16.299707]
[15.72999954],[15.948716]
[15.88000011],[15.745726]
[16.15999985],[15.80712]
[16.82999992],[16.065786]
[16.90999985],[16.664026]
[16.44000053],[16.934595]
[16.64999962],[16.614658]
[16.62000084],[16.59353]
[16.39999962],[16.5794]
[16.94000053],[16.413065]
[16.90999985],[16.757305]
[16.97999954],[16.887827]
[16.36000061],[16.955616]
[16.81999969],[16.490456]
[17.17000008],[16.639755]
[17.29000092],[16.998224]
[16.70000076],[17.211111]
[16.04000092],[16.800232]
[15.86999989],[16.115238]
[15.52000046],[15.76244]
[15.77000046],[15.446804]
[15.69999981],[15.568824]
[15.23999977],[15.621931]
[15.11999989],[15.310741]
[14.22000027],[15.093]
[14.07999992],[14.394813]
[14.68999958],[14.031726]
[15.14000034],[14.389278]
[15.56999969],[14.928269]
[12.67000008],[15.443136]
[12.03999996],[13.602605]
[11.75],[12.277704]
[11.89999962],[11.693062]
[12.72999954],[11.7132845]
[11.98999977],[12.3777075]
[11.42000008],[12.301499]
[12.44999981],[11.805155]
[12.44999981],[12.141699]
[12.19999981],[12.392078]
[12.22999954],[12.307311]
[12.22000027],[12.217716]
[12.21000004],[12.161154]
[11.64000034],[12.132795]
[11.44999981],[11.787186]
[10.98999977],[11.485126]
[11.13000011],[11.108719]
[11.19999981],[11.031096]
[11.40999985],[11.105576]
[11.73999977],[11.293505]
[12.10999966],[11.585673]
[11.88000011],[11.936797]
[12.40999985],[11.945985]
[12.43000031],[12.178679]
[12.02000046],[12.316076]
[12.11999989],[12.099604]
[11.78999996],[12.00185]
[11.73999977],[11.7902]
[11.01000023],[11.660989]
[11.30000019],[11.205017]
[10.98999977],[11.1350565]
[10.94999981],[11.007995]
[10.88000011],[10.9252825]
[10.77999973],[10.859518]
[10.44999981],[10.772191]
[9.98999977],[10.5353365]
[10.22999954],[10.136674]
[10.14000034],[10.05226]
[10.27000046],[10.025576]
[10.06000042],[10.092738]
[10.28999996],[10.026619]
[10.11999989],[10.0866995]
[10.28999996],[10.0445385]
[9.92000008],[10.088232]
[10.01000023],[9.925445]
[9.89000034],[9.851009]
[10.10000038],[9.77408]
[8.11999989],[9.851249]
[7.51000023],[8.890648]
[7.86999989],[7.9140306]
[7.80000019],[7.631743]
[7.17000008],[7.6306214]
[7.80000019],[7.404695]
[8.19999981],[7.526965]
[8.06000042],[7.8603673]
[8.02000046],[8.002062]
[7.98999977],[7.9832377]
[7.8499999],[7.900028]
[7.90999985],[7.7619443]
[8.25],[7.6966395]
[8.19999981],[7.840114]
[8.17000008],[7.9529934]
[7.76000023],[7.994407]
[7.57000017],[7.816005]
[7.17999983],[7.586341]
[4.21999979],[7.287681]
[4.46000004],[5.8388157]
[4.92999983],[4.883569]
[4.78999996],[4.7089334]
[4.78000021],[4.781724]
[4.61999989],[4.880198]
[4.4000001],[4.8710723]
[4.53999996],[4.730543]
[4.78000021],[4.635017]
[4.59000015],[4.6608677]
[4.15999985],[4.628597]
[4.40999985],[4.418836]
[4.3499999],[4.3137164]
[4.15999985],[4.2688885]
[4.32000017],[4.193896]
[4.32999992],[4.1945457]
[4.11999989],[4.2319045]
